X,Y,Z
-3386.5674385213097,-312.8274763150925,0.0
-3386.561445653926,-312.8194743016854,0.0
-3386.55483247504,-312.8119767992302,0.0
-3386.547641286428,-312.80503176615684,0.0
-3386.539918087157,-312.7986836269761,0.0
-3386.5317122793454,-312.79297298811514,0.0
-3386.52307635216,-312.7879363781745,0.0
-3386.514065546064,-312.7836060142698,0.0
-3386.504737499466,-312.7800095959524,0.0
-3386.495151880032,-312.77717012802606,0.0
-3386.485370003014,-312.77510577339575,0.0
-3386.475454439042,-312.77382973688617,0.0
-3386.46546861389,-312.7733501807765,0.0
-3386.6231968303823,-312.94474771091154,0.0
-3386.6194819400052,-312.93546338039016,0.0
-3386.6156764739703,-312.9262158060054,0.0
-3386.6117807958917,-312.9170058713667,0.0
-3386.6077952780024,-312.90783445648697,0.0
-3386.6037203011206,-312.8987024376983,0.0
-3386.599556254612,-312.88961068756896,0.0
-3386.595303536352,-312.8805600748192,0.0
-3386.5909625526906,-312.8715514642385,0.0
-3386.58653371841,-312.8625857166033,0.0
-3386.5820174566875,-312.8536636885943,0.0
-3386.6447005306854,-313.00738741786,0.0
-3386.641749772206,-312.9978327333756,0.0
-3386.6386930348945,-312.9883114242112,0.0
-3386.635530696121,-312.97882466582496,0.0
-3386.6322631462945,-312.96937362940946,0.0
-3386.6288907888106,-312.95995948174755,0.0
-3386.6447005306854,-313.00738741786,0.0
-3386.641749772206,-312.9978327333756,0.0
-3386.6386930348945,-312.9883114242112,0.0
-3386.635530696121,-312.97882466582496,0.0
-3386.6322631462945,-312.96937362940946,0.0
-3386.6288907888106,-312.95995948174755,0.0
-3386.6501162387713,-313.025937434472,0.0
-3386.652781296588,-313.0355758005256,0.0
-3386.6552927090993,-313.0452550863616,0.0
-3386.657601408799,-313.0549848964301,0.0
-3386.6598149326765,-313.06473684640446,0.0
-3386.661978450142,-313.07450012800535,0.0
-3386.6641093845647,-313.08427072881074,0.0
-3386.6662165729404,-313.0940466878874,0.0
-3386.6682958671986,-313.1038285342985,0.0
-3386.670318467315,-313.11362170527315,0.0
-3386.6723775239975,-313.1234073253326,0.0
-3386.67462317079,-313.13315128887126,0.0
-3386.677134996122,-313.14282972704996,0.0
-3386.6810414327997,-313.1564305033573,0.0
-3386.683938455692,-313.1660016170875,0.0
-3386.686942235346,-313.17553976509737,0.0
-3386.6900523967756,-313.1850437566564,0.0
-3386.693268551711,-313.1945124052982,0.0
-3386.6965902986517,-313.2039445289686,0.0
-3386.7000172229145,-313.213338950173,0.0
-3386.7035488966876,-313.2226944961236,0.0
-3386.70718487908,-313.2320099988857,0.0
-3386.710924716181,-313.2412842955237,0.0
-3386.718531168563,-313.2575228777167,0.0
-3386.7234168558534,-313.2662473776885,0.0
-3386.7286678057467,-313.2747567631671,0.0
-3386.7343318704898,-313.28299651326444,0.0
-3386.7404655863375,-313.2908923965806,0.0
-3386.747134294306,-313.2983407951587,0.0
-3386.7544105811858,-313.30519503613505,0.0
-3386.762365959939,-313.31124441283424,0.0
-3386.7710480783267,-313.3161874999618,0.0
-3386.780428251612,-313.3196102024325,0.0
-3386.970974887939,-313.3176974410193,0.0
-3386.9609761296874,-313.3178550246643,0.0
-3386.9509774214443,-313.3180157500706,0.0
-3386.9409787641985,-313.31817961722226,0.0
-3386.9309801589347,-313.3183466261031,0.0
-3386.9209816066423,-313.3185167766967,0.0
-3386.9109831083065,-313.31869006898626,0.0
-3386.9009846649165,-313.3188665029545,0.0
-3386.8909862774576,-313.3190460785843,0.0
-3386.8809879469186,-313.3192287958576,0.0
-3386.8709896742853,-313.31941465475666,0.0
-3386.860991460545,-313.3196036552629,0.0
-3386.8509933066866,-313.31979579735776,0.0
-3386.840995213695,-313.3199910810223,0.0
